Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0603,2,22uF,
C2,0603,1,10nF,
C4,0603,1,1uF,
"C5, C6, C7, C8",0603,4,100nF,
D1,SS34_DIO_SS34,1,SS34,
D2,D_SOD-123,1,LBAT46T1G,
L1,L_12x12mm_H4.5mm,1,22uH,C5123081
Q1,SOT-23-3,1,AO3407A,C5224209
Q2,FDN327N_SSOT-3,1,FDN327N,
R1,0603,1,330k,
"R10, R7",0603,2,100,
"R11, R4",0603,2,10k,
R2,0603,1,1.5M,
R3,0603,1,470,
R5,0603,1,4.7k,
"R6, R8",0603,2,330,
R9,0603,1,100k,
SW1,SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,1,SW_Push,
U1,SOT-23-6,1,MT3608,
U2,TDFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm,1,MAX14611ETD+T,C2677488
U3,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm_ThermalVias,1,ATtiny1616-M,
