Designator,Mid X,Mid Y,Rotation,Layer
C1,27.1375,-43.0,90.0,top
C2,31.6375,-39.0,90.0,top
C3,41.25,-45.5,180.0,top
C4,49.0,-43.25,90.0,top
C5,49.75,-40.75,180.0,top
C6,56.5,-49.15,90.0,top
C7,60.6,-52.2,180.0,top
C8,71.0,-51.0,180.0,top
D1,42.0,-51.5,270.0,top
D2,44.75,-59.0,0.0,top
D3,62.5,-36.5,180.0,top
D4,62.5,-38.5,180.0,top
J1,33.495,-62.5,90.0,top
J2,44.255,-62.5,270.0,top
J3,49.23,-37.5,270.0,top
J4,67.495,-62.5,90.0,top
L1,32.0,-53.5,90.0,top
Q1,57.0,-55.0,270.0,top
Q2,61.0,-55.0,0.0,top
R1,33.6375,-39.0,90.0,top
R10,71.0,-49.0,0.0,top
R11,71.0,-53.0,0.0,top
R12,50.93,-62.5,0.0,bottom
R2,35.6375,-39.0,270.0,top
R3,48.4,-55.2,180.0,top
R4,53.25,-57.0,270.0,top
R5,57.25,-52.0,0.0,top
R6,63.5,-44.5,270.0,top
R7,64.65,-52.4,270.0,top
R8,65.5,-44.5,270.0,top
R9,66.4,-52.4,270.0,top
SW1,58.5,-62.8,180.0,top
U1,30.5,-42.5,0.0,top
U2,46.25,-42.5,270.0,top
U3,59.575,-48.575,0.0,top
U4,64.61,-49.983,90.0,top
